,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Year
4,AL011851,            UNNAMED,1851-06-25,2100, L, HU,28.2,-96.8,80,1851
48,AL041851,            UNNAMED,1851-08-23,2100, L, HU,30.1,-85.7,100,1851
96,AL061851,            UNNAMED,1851-10-19,1500, L, TS,41.1,-71.7,50,1851
127,AL011852,            UNNAMED,1852-08-26,600, L, HU,30.2,-88.6,100,1852
163,AL031852,            UNNAMED,1852-09-12,0, L, HU,28.0,-82.8,70,1852
223,AL051852,            UNNAMED,1852-10-09,2100, L, HU,29.9,-84.4,90,1852
338,AL011854,            UNNAMED,1854-06-26,1200, L, HU,26.2,-97.0,70,1854
352,AL031854,            UNNAMED,1854-09-08,2000, L, HU,31.7,-81.1,100,1854
373,AL041854,            UNNAMED,1854-09-18,2100, L, HU,28.9,-95.3,90,1854
421,AL051855,            UNNAMED,1855-09-16,300, L, HU,29.2,-89.5,110,1855
434,AL011856,            UNNAMED,1856-08-10,1800, L, HU,29.2,-91.1,130,1856
451,AL031856,            UNNAMED,1856-08-19,1100, L, TS,34.8,-76.4,50,1856
487,AL051856,            UNNAMED,1856-08-31,600, L, HU,30.2,-85.9,90,1856
555,AL021857,            UNNAMED,1857-09-13,0, L, HU,33.9,-78.0,90,1857
623,AL041857,            UNNAMED,1857-09-30,1000, L, TS,25.8,-97.0,50,1857
631,AL031858,            UNNAMED,1858-09-14,1500, L, TS,27.6,-82.7,60,1858
640,AL031858,            UNNAMED,1858-09-16,1700, L, HU,40.9,-72.2,80,1858
641,AL031858,            UNNAMED,1858-09-16,1800, L, HU,41.4,-72.0,70,1858
742,AL051859,            UNNAMED,1859-09-16,0, L, HU,30.3,-88.1,70,1859
781,AL071859,            UNNAMED,1859-10-17,1600, L, TS,26.4,-80.1,60,1859
804,AL081859,            UNNAMED,1859-10-28,1800, L, HU,27.7,-82.8,80,1859
825,AL011860,            UNNAMED,1860-08-11,2000, L, HU,29.2,-90.0,110,1860
874,AL041860,            UNNAMED,1860-09-15,400, L, HU,29.3,-89.6,90,1860
907,AL061860,            UNNAMED,1860-10-02,1700, L, HU,29.5,-91.4,90,1860
1004,AL051861,            UNNAMED,1861-09-27,1700, L, HU,34.5,-77.4,70,1861
1025,AL071861,            UNNAMED,1861-10-07,1200, L, TS,35.3,-75.3,50,1861
1027,AL081861,            UNNAMED,1861-11-01,800, L, TS,26.0,-81.8,60,1861
1032,AL081861,            UNNAMED,1861-11-02,1000, L, HU,34.7,-77.6,70,1861
1037,AL081861,            UNNAMED,1861-11-03,800, L, TS,41.0,-72.3,60,1861
1038,AL081861,            UNNAMED,1861-11-03,900, L, TS,41.2,-72.0,60,1861
1214,AL061863,            UNNAMED,1863-09-18,1300, L, TS,34.6,-77.1,60,1863
1230,AL091863,            UNNAMED,1863-09-29,1200, L, TS,29.3,-94.8,60,1863
1308,AL021865,            UNNAMED,1865-06-30,1200, L, TS,26.0,-97.5,50,1865
1361,AL041865,            UNNAMED,1865-09-13,2100, L, HU,29.8,-93.4,90,1865
1366,AL051865,            UNNAMED,1865-09-07,0, L, TS,29.7,-92.0,60,1865
1390,AL071865,            UNNAMED,1865-10-23,1000, L, HU,24.6,-81.7,90,1865
1392,AL071865,            UNNAMED,1865-10-23,1400, L, HU,25.4,-81.1,90,1865
1418,AL011866,            UNNAMED,1866-07-15,1200, L, HU,28.5,-96.5,90,1866
1530,AL011867,            UNNAMED,1867-06-22,1400, L, HU,32.9,-79.7,70,1867
1603,AL071867,            UNNAMED,1867-10-04,1500, L, HU,29.2,-91.0,90,1867
1612,AL071867,            UNNAMED,1867-10-06,1500, L, HU,29.6,-83.4,70,1867
1677,AL021868,            UNNAMED,1868-10-04,1600, L, TS,29.9,-85.4,60,1868
1725,AL021869,            UNNAMED,1869-08-17,700, L, HU,28.1,-96.8,90,1869
1746,AL051869,            UNNAMED,1869-09-05,1200, L, HU,29.2,-90.0,70,1869
1757,AL061869,            UNNAMED,1869-09-08,2100, L, HU,41.0,-71.9,100,1869
1758,AL061869,            UNNAMED,1869-09-08,2200, L, HU,41.4,-71.7,100,1869
1799,AL101869,            UNNAMED,1869-10-04,1900, L, HU,41.3,-70.5,90,1869
1800,AL101869,            UNNAMED,1869-10-04,2000, L, HU,41.7,-70.4,90,1869
1801,AL101869,            UNNAMED,1869-10-04,2300, L, HU,43.7,-70.1,90,1869
1936,AL091870,            UNNAMED,1870-10-20,1400, L, HU,24.7,-82.8,80,1870
1938,AL091870,            UNNAMED,1870-10-20,2000, L, HU,26.0,-81.8,80,1870
1982,AL011871,            UNNAMED,1871-06-04,700, L, TS,29.1,-95.1,50,1871
1996,AL021871,            UNNAMED,1871-06-09,1700, L, TS,29.2,-95.0,50,1871
2015,AL031871,            UNNAMED,1871-08-17,200, L, HU,27.1,-80.2,100,1871
2039,AL031871,            UNNAMED,1871-08-23,0, L, TS,31.2,-81.4,60,1871
2076,AL041871,            UNNAMED,1871-08-25,500, L, HU,27.1,-80.3,90,1871
2123,AL061871,            UNNAMED,1871-09-06,1400, L, HU,29.2,-83.0,70,1871
2156,AL071871,            UNNAMED,1871-10-05,1600, L, TS,30.0,-83.9,60,1871
2189,AL011872,            UNNAMED,1872-07-11,500, L, TS,29.1,-89.1,50,1872
