,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Year
0,AL011851,            UNNAMED,18510628,2100, L, TS,31.0,-94.8,80,1851
1,AL011852,            UNNAMED,18520830,1800, L, TS,41.0,-67.1,100,1852
2,AL011853,            UNNAMED,18530805,1200,  , TS,32.5,-69.0,50,1853
3,AL011854,            UNNAMED,18540627,1800, L, TS,28.0,-92.5,70,1854
4,AL011855,            UNNAMED,18550806,1200,  , HU,22.2,-98.0,90,1855
5,AL011856,            UNNAMED,18560812,1800, L, TS,31.3,-83.9,130,1856
6,AL011857,            UNNAMED,18570701,1800,  , TS,36.0,-66.0,50,1857
7,AL011858,            UNNAMED,18580612,1200,  , HU,19.0,-85.5,70,1858
8,AL011859,            UNNAMED,18590701,1200,  , HU,21.5,-97.5,90,1859
9,AL011860,            UNNAMED,18600816,2000, L, TS,33.3,-72.0,110,1860
10,AL011861,            UNNAMED,18610712,1800,  , TS,37.0,-58.5,90,1861
11,AL011862,            UNNAMED,18620617,1800,  , TS,36.5,-71.3,50,1862
12,AL011863,            UNNAMED,18630809,1800,  , HU,42.0,-45.8,90,1863
13,AL011864,            UNNAMED,18640718,1800,  , TS,46.0,-44.0,70,1864
14,AL011865,            UNNAMED,18650530,0,  , TS,13.0,-80.0,50,1865
15,AL011866,            UNNAMED,18660716,1800, L, TS,28.6,-87.3,90,1866
16,AL011867,            UNNAMED,18670623,1800, L, TS,35.5,-78.8,70,1867
17,AL011868,            UNNAMED,18680907,1800,  , HU,45.5,-51.0,90,1868
18,AL011869,            UNNAMED,18690812,1800,  , HU,43.5,-45.0,90,1869
19,AL011870,            UNNAMED,18700730,1800,  , HU,30.5,-88.0,70,1870
20,AL011871,            UNNAMED,18710605,1800, L, TS,35.0,-81.0,50,1871
21,AL011872,            UNNAMED,18720713,1800, L, TS,34.2,-88.5,50,1872
22,AL011873,            UNNAMED,18730602,1800, L, TS,31.7,-78.5,40,1873
23,AL011874,            UNNAMED,18740705,2000, L, TS,29.4,-85.1,50,1874
24,AL011875,            UNNAMED,18750819,1800,  , HU,43.5,-62.0,70,1875
25,AL011876,            UNNAMED,18760911,1800,  , TS,45.0,-48.5,80,1876
26,AL011877,            UNNAMED,18770805,1800,  , TS,48.5,-64.0,60,1877
27,AL011878,            UNNAMED,18780703,1800, L, TS,29.4,-75.6,40,1878
